page_a,page_b,common_words,union_words,common_pct_jaccard
acariens-antony,acariens-chatenay-malabry,415,439,94.533
acariens-antony,acariens-choisy-le-roi,417,435,95.8621
acariens-antony,acariens-orly,416,436,95.4128
acariens-antony,acariens-thiais,416,434,95.8525
acariens-antony,acariens-versailles,414,439,94.3052
acariens-antony,cafards-antony,263,703,37.4111
acariens-antony,cafards-arcueil,262,753,34.7942
acariens-antony,cafards-cachan,224,784,28.5714
acariens-antony,cafards-chatenay-malabry,265,761,34.8226
acariens-antony,cafards-choisy-le-roi,390,487,80.0821
acariens-antony,cafards-clamart,264,759,34.7826
acariens-antony,cafards-fresnes,221,763,28.9646
acariens-antony,cafards-gentilly,264,753,35.0598
acariens-antony,cafards-le-kremlin-bicetre,259,759,34.1238
acariens-antony,cafards-lhay-les-roses,232,765,30.3268
acariens-antony,cafards-orly,389,488,79.7131
acariens-antony,cafards-thiais,389,486,80.0412
acariens-antony,cafards-versailles,387,491,78.8187
acariens-antony,chenille-processionnaire-antony,398,472,84.322
acariens-antony,chenille-processionnaire-chatenay-malabry,387,484,79.9587
acariens-antony,chenille-processionnaire-choisy-le-roi,388,480,80.8333
acariens-antony,chenille-processionnaire-orly,387,481,80.4574
acariens-antony,chenille-processionnaire-thiais,387,479,80.7933
acariens-antony,chenille-processionnaire-versailles,385,484,79.5455
acariens-antony,depigeonnage-antony,391,472,82.839
acariens-antony,depigeonnage-chatenay-malabry,381,484,78.719
acariens-antony,depigeonnage-choisy-le-roi,380,481,79.0021
acariens-antony,depigeonnage-orly,381,481,79.21
acariens-antony,depigeonnage-thiais,381,479,79.5407
acariens-antony,depigeonnage-versailles,379,484,78.3058
acariens-antony,deratisation-antony,272,724,37.5691
acariens-antony,deratisation-chatenay-malabry,247,947,26.0824
acariens-antony,deratisation-chevilly-larue,214,780,27.4359
acariens-antony,deratisation-choisy-le-roi,210,753,27.8884
acariens-antony,deratisation-clamart,214,718,29.805
acariens-antony,deratisation-orly,232,845,27.4556
acariens-antony,deratisation-rungis,209,690,30.2899
acariens-antony,deratisation-thiais,244,951,25.6572
acariens-antony,deratisation-versailles,214,723,29.5989
acariens-antony,deratisation-villejuif,230,824,27.9126
acariens-antony,deratisation-vitry-sur-seine,233,827,28.1741
acariens-antony,fourmis-antony,400,458,87.3362
acariens-antony,fourmis-chatenay-malabry,389,470,82.766
acariens-antony,fourmis-choisy-le-roi,390,466,83.691
acariens-antony,fourmis-orly,389,467,83.2976
acariens-antony,fourmis-thiais,389,465,83.6559
acariens-antony,fourmis-versailles,387,470,82.3404
acariens-antony,frelon-asiatique-chatenay-malabry,377,476,79.2017
acariens-antony,frelon-asiatique-orly,377,473,79.704
acariens-antony,frelon-asiatique-thiais,377,471,80.0425
acariens-antony,frelons-antony,247,729,33.882
acariens-antony,frelons-arcueil,144,615,23.4146
acariens-antony,frelons-choisy-le-roi,378,469,80.597
acariens-antony,frelons-clamart,144,612,23.5294
acariens-antony,frelons-gentilly,147,615,23.9024
acariens-antony,frelons-le-kremlin-bicetre,147,610,24.0984
acariens-antony,frelons-orly,377,470,80.2128
acariens-antony,frelons-thiais,377,468,80.5556
acariens-antony,frelons-versailles,214,786,27.2265
acariens-antony,guepes-antony,248,729,34.0192
acariens-antony,guepes-arcueil,137,621,22.0612
acariens-antony,guepes-chatenay-malabry,374,477,78.4067
acariens-antony,guepes-choisy-le-roi,375,482,77.8008
acariens-antony,guepes-clamart,137,617,22.2042
acariens-antony,guepes-gentilly,140,621,22.5443
acariens-antony,guepes-le-kremlin-bicetre,140,615,22.7642
acariens-antony,guepes-orly,374,474,78.903
acariens-antony,guepes-thiais,374,472,79.2373
acariens-antony,guepes-versailles,200,762,26.2467
acariens-antony,mouches-antony,397,460,86.3043
acariens-antony,mouches-chatenay-malabry,386,472,81.7797
acariens-antony,mouches-choisy-le-roi,387,468,82.6923
acariens-antony,mouches-orly,386,469,82.3028
acariens-antony,mouches-thiais,386,467,82.6552
acariens-antony,mouches-versailles,384,472,81.3559
acariens-antony,punaises-de-lit-antony,265,736,36.0054
acariens-antony,punaises-de-lit-arcueil,261,753,34.6614
acariens-antony,punaises-de-lit-cachan,224,800,28.0
acariens-antony,punaises-de-lit-chatenay-malabry,264,761,34.6912
acariens-antony,punaises-de-lit-choisy-le-roi,388,460,84.3478
acariens-antony,punaises-de-lit-clamart,263,759,34.6509
acariens-antony,punaises-de-lit-fresnes,219,773,28.3312
acariens-antony,punaises-de-lit-gentilly,263,754,34.8806
acariens-antony,punaises-de-lit-le-kremlin-bicetre,261,750,34.8
acariens-antony,punaises-de-lit-lhay-les-roses,218,796,27.3869
acariens-antony,punaises-de-lit-orly,387,461,83.9479
acariens-antony,punaises-de-lit-thiais,387,459,84.3137
acariens-antony,punaises-de-lit-versailles,386,464,83.1897
acariens-antony,rats-arcueil,262,752,34.8404
acariens-antony,rats-cachan,238,812,29.3103
acariens-antony,rats-fresnes,226,773,29.2367
acariens-antony,rats-gentilly,264,753,35.0598
acariens-antony,rats-le-kremlin-bicetre,262,749,34.98
acariens-antony,rats-lhay-les-roses,224,765,29.281
acariens-antony,souris-arcueil,262,752,34.8404
acariens-antony,souris-cachan,220,792,27.7778
acariens-antony,souris-fresnes,222,773,28.7193
acariens-antony,souris-gentilly,264,753,35.0598
acariens-antony,souris-le-kremlin-bicetre,262,749,34.98
acariens-antony,souris-lhay-les-roses,229,769,29.7789
acariens-antony,xylophages-antony,397,472,84.1102
acariens-antony,xylophages-chatenay-malabry,386,483,79.9172
acariens-antony,xylophages-choisy-le-roi,387,480,80.625
acariens-antony,xylophages-orly,386,481,80.2495
acariens-antony,xylophages-thiais,386,479,80.5846
acariens-antony,xylophages-versailles,384,484,79.3388
acariens-chatenay-malabry,acariens-choisy-le-roi,415,437,94.9657
acariens-chatenay-malabry,acariens-orly,414,438,94.5205
acariens-chatenay-malabry,acariens-thiais,413,437,94.508
acariens-chatenay-malabry,acariens-versailles,412,441,93.424
acariens-chatenay-malabry,cafards-antony,251,715,35.1049
acariens-chatenay-malabry,cafards-arcueil,259,756,34.2593
acariens-chatenay-malabry,cafards-cachan,221,787,28.0813
acariens-chatenay-malabry,cafards-chatenay-malabry,268,758,35.3562
acariens-chatenay-malabry,cafards-choisy-le-roi,388,489,79.3456
acariens-chatenay-malabry,cafards-clamart,261,762,34.252
acariens-chatenay-malabry,cafards-fresnes,218,766,28.4595
acariens-chatenay-malabry,cafards-gentilly,261,756,34.5238
acariens-chatenay-malabry,cafards-le-kremlin-bicetre,256,762,33.5958
acariens-chatenay-malabry,cafards-lhay-les-roses,231,766,30.1567
