nuisible,page_a,page_b,common_pct,localized_pct,shared_units,units_a,units_b
acariens,acariens-antony,acariens-chatenay-malabry,57.89,20.54,33,56,58
acariens,acariens-antony,acariens-choisy-le-roi,57.89,20.54,33,56,58
acariens,acariens-antony,acariens-orly,89.29,5.36,50,56,56
acariens,acariens-antony,acariens-thiais,89.29,5.36,50,56,56
acariens,acariens-antony,acariens-versailles,87.5,6.25,49,56,56
acariens,acariens-chatenay-malabry,acariens-choisy-le-roi,56.9,21.55,33,58,58
acariens,acariens-chatenay-malabry,acariens-orly,57.89,21.55,33,58,56
acariens,acariens-chatenay-malabry,acariens-thiais,57.89,21.55,33,58,56
acariens,acariens-chatenay-malabry,acariens-versailles,57.89,21.55,33,58,56
acariens,acariens-choisy-le-roi,acariens-orly,57.89,21.55,33,58,56
acariens,acariens-choisy-le-roi,acariens-thiais,57.89,21.55,33,58,56
acariens,acariens-choisy-le-roi,acariens-versailles,57.89,21.55,33,58,56
acariens,acariens-orly,acariens-thiais,89.29,5.36,50,56,56
acariens,acariens-orly,acariens-versailles,87.5,6.25,49,56,56
acariens,acariens-thiais,acariens-versailles,87.5,6.25,49,56,56
cafards,cafards-antony,cafards-arcueil,0.0,50.0,0,72,98
cafards,cafards-antony,cafards-cachan,0.0,50.0,0,72,91
cafards,cafards-antony,cafards-chatenay-malabry,0.0,50.0,0,72,100
cafards,cafards-antony,cafards-choisy-le-roi,0.0,50.0,0,72,63
cafards,cafards-antony,cafards-clamart,0.0,50.0,0,72,98
cafards,cafards-antony,cafards-fresnes,0.0,50.0,0,72,93
cafards,cafards-antony,cafards-gentilly,0.0,50.0,0,72,98
cafards,cafards-antony,cafards-le-kremlin-bicetre,0.0,50.0,0,72,100
cafards,cafards-antony,cafards-lhay-les-roses,0.0,50.0,0,72,92
cafards,cafards-antony,cafards-orly,3.01,48.61,2,72,61
cafards,cafards-antony,cafards-rungis,0.0,50.0,0,72,0
cafards,cafards-antony,cafards-thiais,3.01,48.61,2,72,61
cafards,cafards-antony,cafards-versailles,3.01,48.61,2,72,61
cafards,cafards-arcueil,cafards-cachan,13.76,43.37,13,98,91
cafards,cafards-arcueil,cafards-chatenay-malabry,58.59,20.41,58,98,100
cafards,cafards-arcueil,cafards-choisy-le-roi,0.0,50.0,0,98,63
cafards,cafards-arcueil,cafards-clamart,88.78,5.61,87,98,98
cafards,cafards-arcueil,cafards-fresnes,14.66,42.86,14,98,93
cafards,cafards-arcueil,cafards-gentilly,90.82,4.59,89,98,98
cafards,cafards-arcueil,cafards-le-kremlin-bicetre,52.53,23.47,52,98,100
cafards,cafards-arcueil,cafards-lhay-les-roses,10.53,44.9,10,98,92
cafards,cafards-arcueil,cafards-orly,0.0,50.0,0,98,61
cafards,cafards-arcueil,cafards-rungis,0.0,50.0,0,98,0
cafards,cafards-arcueil,cafards-thiais,0.0,50.0,0,98,61
cafards,cafards-arcueil,cafards-versailles,0.0,50.0,0,98,61
cafards,cafards-cachan,cafards-chatenay-malabry,10.47,44.51,10,91,100
cafards,cafards-cachan,cafards-choisy-le-roi,0.0,50.0,0,91,63
cafards,cafards-cachan,cafards-clamart,13.76,42.86,13,91,98
cafards,cafards-cachan,cafards-fresnes,39.13,30.22,36,91,93
cafards,cafards-cachan,cafards-gentilly,13.76,42.86,13,91,98
cafards,cafards-cachan,cafards-le-kremlin-bicetre,6.28,46.7,6,91,100
cafards,cafards-cachan,cafards-lhay-les-roses,14.21,42.86,13,91,92
cafards,cafards-cachan,cafards-orly,0.0,50.0,0,91,61
cafards,cafards-cachan,cafards-rungis,0.0,50.0,0,91,0
cafards,cafards-cachan,cafards-thiais,0.0,50.0,0,91,61
cafards,cafards-cachan,cafards-versailles,0.0,50.0,0,91,61
cafards,cafards-chatenay-malabry,cafards-choisy-le-roi,0.0,50.0,0,100,63
cafards,cafards-chatenay-malabry,cafards-clamart,58.59,21.0,58,100,98
cafards,cafards-chatenay-malabry,cafards-fresnes,10.36,45.0,10,100,93
cafards,cafards-chatenay-malabry,cafards-gentilly,58.59,21.0,58,100,98
cafards,cafards-chatenay-malabry,cafards-le-kremlin-bicetre,51.0,24.5,51,100,100
cafards,cafards-chatenay-malabry,cafards-lhay-les-roses,10.42,45.0,10,100,92
cafards,cafards-chatenay-malabry,cafards-orly,0.0,50.0,0,100,61
cafards,cafards-chatenay-malabry,cafards-rungis,0.0,50.0,0,100,0
cafards,cafards-chatenay-malabry,cafards-thiais,0.0,50.0,0,100,61
cafards,cafards-chatenay-malabry,cafards-versailles,0.0,50.0,0,100,61
cafards,cafards-choisy-le-roi,cafards-clamart,0.0,50.0,0,63,98
cafards,cafards-choisy-le-roi,cafards-fresnes,0.0,50.0,0,63,93
cafards,cafards-choisy-le-roi,cafards-gentilly,0.0,50.0,0,63,98
cafards,cafards-choisy-le-roi,cafards-le-kremlin-bicetre,0.0,50.0,0,63,100
cafards,cafards-choisy-le-roi,cafards-lhay-les-roses,0.0,50.0,0,63,92
cafards,cafards-choisy-le-roi,cafards-orly,59.68,20.63,37,63,61
cafards,cafards-choisy-le-roi,cafards-rungis,0.0,50.0,0,63,0
cafards,cafards-choisy-le-roi,cafards-thiais,59.68,20.63,37,63,61
cafards,cafards-choisy-le-roi,cafards-versailles,59.68,20.63,37,63,61
cafards,cafards-clamart,cafards-fresnes,14.66,42.86,14,98,93
cafards,cafards-clamart,cafards-gentilly,87.76,6.12,86,98,98
cafards,cafards-clamart,cafards-le-kremlin-bicetre,51.52,23.98,51,98,100
cafards,cafards-clamart,cafards-lhay-les-roses,10.53,44.9,10,98,92
cafards,cafards-clamart,cafards-orly,0.0,50.0,0,98,61
cafards,cafards-clamart,cafards-rungis,0.0,50.0,0,98,0
cafards,cafards-clamart,cafards-thiais,0.0,50.0,0,98,61
cafards,cafards-clamart,cafards-versailles,0.0,50.0,0,98,61
cafards,cafards-fresnes,cafards-gentilly,14.66,42.47,14,93,98
cafards,cafards-fresnes,cafards-le-kremlin-bicetre,5.18,47.31,5,93,100
cafards,cafards-fresnes,cafards-lhay-les-roses,17.3,41.4,16,93,92
cafards,cafards-fresnes,cafards-orly,0.0,50.0,0,93,61
cafards,cafards-fresnes,cafards-rungis,0.0,50.0,0,93,0
