nuisible,page_a,page_b,common_pct,localized_pct,common_phrases,phrases_a,phrases_b
cafards,cafards-orly,cafards-thiais,92.42,7.58,61,66,66
cafards,cafards-arcueil,cafards-gentilly,92.0,8.0,92,100,100
punaises-de-lit,punaises-de-lit-arcueil,punaises-de-lit-gentilly,92.0,8.0,92,100,100
rats,rats-arcueil,rats-gentilly,92.0,8.0,92,100,100
souris,souris-arcueil,souris-gentilly,92.0,8.0,92,100,100
acariens,acariens-antony,acariens-orly,91.94,8.06,57,62,62
acariens,acariens-antony,acariens-thiais,91.94,8.06,57,62,62
acariens,acariens-orly,acariens-thiais,91.94,8.06,57,62,62
deratisation,deratisation-clamart,deratisation-versailles,91.92,8.08,91,99,99
depigeonnage,depigeonnage-antony,depigeonnage-orly,91.8,8.2,56,61,61
depigeonnage,depigeonnage-antony,depigeonnage-thiais,91.8,8.2,56,61,61
depigeonnage,depigeonnage-orly,depigeonnage-thiais,91.8,8.2,56,61,61
frelon-asiatique,frelon-asiatique-orly,frelon-asiatique-thiais,91.8,8.2,56,61,61
chenille-processionnaire,chenille-processionnaire-antony,chenille-processionnaire-orly,91.67,8.33,55,60,60
chenille-processionnaire,chenille-processionnaire-antony,chenille-processionnaire-thiais,91.67,8.33,55,60,60
chenille-processionnaire,chenille-processionnaire-orly,chenille-processionnaire-thiais,91.67,8.33,55,60,60
mouches,mouches-antony,mouches-orly,91.67,8.33,55,60,60
mouches,mouches-antony,mouches-thiais,91.67,8.33,55,60,60
mouches,mouches-orly,mouches-thiais,91.67,8.33,55,60,60
punaises-de-lit,punaises-de-lit-orly,punaises-de-lit-thiais,91.53,8.47,54,59,59
xylophages,xylophages-antony,xylophages-orly,91.53,8.47,54,59,59
xylophages,xylophages-antony,xylophages-thiais,91.53,8.47,54,59,59
xylophages,xylophages-orly,xylophages-thiais,91.53,8.47,54,59,59
fourmis,fourmis-antony,fourmis-orly,91.38,8.62,53,58,58
fourmis,fourmis-antony,fourmis-thiais,91.38,8.62,53,58,58
fourmis,fourmis-orly,fourmis-thiais,91.38,8.62,53,58,58
guepes,guepes-orly,guepes-thiais,91.38,8.62,53,58,58
cafards,cafards-orly,cafards-versailles,90.91,9.09,60,66,66
cafards,cafards-thiais,cafards-versailles,90.91,9.09,60,66,66
acariens,acariens-antony,acariens-versailles,90.32,9.68,56,62,62
acariens,acariens-orly,acariens-versailles,90.32,9.68,56,62,62
acariens,acariens-thiais,acariens-versailles,90.32,9.68,56,62,62
depigeonnage,depigeonnage-antony,depigeonnage-versailles,90.16,9.84,55,61,61
depigeonnage,depigeonnage-orly,depigeonnage-versailles,90.16,9.84,55,61,61
depigeonnage,depigeonnage-thiais,depigeonnage-versailles,90.16,9.84,55,61,61
cafards,cafards-arcueil,cafards-clamart,90.0,10.0,90,100,100
chenille-processionnaire,chenille-processionnaire-antony,chenille-processionnaire-versailles,90.0,10.0,54,60,60
chenille-processionnaire,chenille-processionnaire-orly,chenille-processionnaire-versailles,90.0,10.0,54,60,60
chenille-processionnaire,chenille-processionnaire-thiais,chenille-processionnaire-versailles,90.0,10.0,54,60,60
mouches,mouches-antony,mouches-versailles,90.0,10.0,54,60,60
mouches,mouches-orly,mouches-versailles,90.0,10.0,54,60,60
mouches,mouches-thiais,mouches-versailles,90.0,10.0,54,60,60
punaises-de-lit,punaises-de-lit-arcueil,punaises-de-lit-clamart,90.0,10.0,90,100,100
punaises-de-lit,punaises-de-lit-orly,punaises-de-lit-versailles,89.83,10.17,53,59,59
punaises-de-lit,punaises-de-lit-thiais,punaises-de-lit-versailles,89.83,10.17,53,59,59
xylophages,xylophages-antony,xylophages-versailles,89.83,10.17,53,59,59
xylophages,xylophages-orly,xylophages-versailles,89.83,10.17,53,59,59
xylophages,xylophages-thiais,xylophages-versailles,89.83,10.17,53,59,59
fourmis,fourmis-antony,fourmis-versailles,89.66,10.34,52,58,58
fourmis,fourmis-orly,fourmis-versailles,89.66,10.34,52,58,58
fourmis,fourmis-thiais,fourmis-versailles,89.66,10.34,52,58,58
cafards,cafards-clamart,cafards-gentilly,89.0,11.0,89,100,100
punaises-de-lit,punaises-de-lit-clamart,punaises-de-lit-gentilly,89.0,11.0,89,100,100
frelons,frelons-orly,frelons-thiais,77.05,22.95,47,61,61
deratisation,deratisation-chatenay-malabry,deratisation-thiais,64.31,35.69,100,156,155
deratisation,deratisation-clamart,deratisation-orly,63.64,35.72,70,99,121
deratisation,deratisation-orly,deratisation-versailles,63.64,35.72,70,121,99
cafards,cafards-choisy-le-roi,cafards-orly,62.12,37.88,41,66,66
cafards,cafards-choisy-le-roi,cafards-thiais,62.12,37.88,41,66,66
cafards,cafards-choisy-le-roi,cafards-versailles,62.12,37.88,41,66,66
acariens,acariens-antony,acariens-chatenay-malabry,61.29,38.71,38,62,62
acariens,acariens-antony,acariens-choisy-le-roi,61.29,38.71,38,62,62
acariens,acariens-chatenay-malabry,acariens-choisy-le-roi,61.29,38.71,38,62,62
acariens,acariens-chatenay-malabry,acariens-orly,61.29,38.71,38,62,62
acariens,acariens-chatenay-malabry,acariens-thiais,61.29,38.71,38,62,62
acariens,acariens-chatenay-malabry,acariens-versailles,61.29,38.71,38,62,62
acariens,acariens-choisy-le-roi,acariens-orly,61.29,38.71,38,62,62
acariens,acariens-choisy-le-roi,acariens-thiais,61.29,38.71,38,62,62
acariens,acariens-choisy-le-roi,acariens-versailles,61.29,38.71,38,62,62
frelons,frelons-choisy-le-roi,frelons-orly,60.66,39.34,37,61,61
frelon-asiatique,frelon-asiatique-chatenay-malabry,frelon-asiatique-orly,60.16,39.83,37,62,61
frelon-asiatique,frelon-asiatique-chatenay-malabry,frelon-asiatique-thiais,60.16,39.83,37,62,61
