nuisible,page_a,page_b,common_pct,localized_pct,common_phrases,phrases_a,phrases_b
acariens,acariens-antony,acariens-chatenay-malabry,61.29,38.71,38,62,62
acariens,acariens-antony,acariens-choisy-le-roi,61.29,38.71,38,62,62
acariens,acariens-antony,acariens-orly,91.94,8.06,57,62,62
acariens,acariens-antony,acariens-thiais,91.94,8.06,57,62,62
acariens,acariens-antony,acariens-versailles,90.32,9.68,56,62,62
acariens,acariens-chatenay-malabry,acariens-choisy-le-roi,61.29,38.71,38,62,62
acariens,acariens-chatenay-malabry,acariens-orly,61.29,38.71,38,62,62
acariens,acariens-chatenay-malabry,acariens-thiais,61.29,38.71,38,62,62
acariens,acariens-chatenay-malabry,acariens-versailles,61.29,38.71,38,62,62
acariens,acariens-choisy-le-roi,acariens-orly,61.29,38.71,38,62,62
acariens,acariens-choisy-le-roi,acariens-thiais,61.29,38.71,38,62,62
acariens,acariens-choisy-le-roi,acariens-versailles,61.29,38.71,38,62,62
acariens,acariens-orly,acariens-thiais,91.94,8.06,57,62,62
acariens,acariens-orly,acariens-versailles,90.32,9.68,56,62,62
acariens,acariens-thiais,acariens-versailles,90.32,9.68,56,62,62
cafards,cafards-antony,cafards-arcueil,0.0,100.0,0,79,100
cafards,cafards-antony,cafards-cachan,0.0,100.0,0,79,95
cafards,cafards-antony,cafards-chatenay-malabry,0.0,100.0,0,79,102
cafards,cafards-antony,cafards-choisy-le-roi,0.0,100.0,0,79,66
cafards,cafards-antony,cafards-clamart,0.0,100.0,0,79,100
cafards,cafards-antony,cafards-fresnes,0.0,100.0,0,79,100
cafards,cafards-antony,cafards-gentilly,0.0,100.0,0,79,100
cafards,cafards-antony,cafards-le-kremlin-bicetre,0.0,100.0,0,79,102
cafards,cafards-antony,cafards-lhay-les-roses,0.0,100.0,0,79,96
cafards,cafards-antony,cafards-orly,4.14,95.83,3,79,66
cafards,cafards-antony,cafards-rungis,0.0,50.0,0,79,0
cafards,cafards-antony,cafards-thiais,4.14,95.83,3,79,66
cafards,cafards-antony,cafards-versailles,4.14,95.83,3,79,66
cafards,cafards-arcueil,cafards-cachan,14.36,85.63,14,100,95
cafards,cafards-arcueil,cafards-chatenay-malabry,58.42,41.58,59,100,102
cafards,cafards-arcueil,cafards-choisy-le-roi,0.0,100.0,0,100,66
cafards,cafards-arcueil,cafards-clamart,90.0,10.0,90,100,100
cafards,cafards-arcueil,cafards-fresnes,15.0,85.0,15,100,100
cafards,cafards-arcueil,cafards-gentilly,92.0,8.0,92,100,100
cafards,cafards-arcueil,cafards-le-kremlin-bicetre,52.48,47.52,53,100,102
cafards,cafards-arcueil,cafards-lhay-les-roses,10.2,89.79,10,100,96
cafards,cafards-arcueil,cafards-orly,0.0,100.0,0,100,66
cafards,cafards-arcueil,cafards-rungis,0.0,50.0,0,100,0
cafards,cafards-arcueil,cafards-thiais,0.0,100.0,0,100,66
cafards,cafards-arcueil,cafards-versailles,0.0,100.0,0,100,66
cafards,cafards-cachan,cafards-chatenay-malabry,10.15,89.83,10,95,102
cafards,cafards-cachan,cafards-choisy-le-roi,0.0,100.0,0,95,66
cafards,cafards-cachan,cafards-clamart,14.36,85.63,14,95,100
