nuisible,pages,pairs,avg_common_pct,median_common_pct,avg_localized_pct,pairs_over_60
acariens,6,15,73.23,61.29,26.77,15
cafards,14,91,15.05,0.0,77.8,9
chenille-processionnaire,6,15,72.0,59.5,27.99,6
depigeonnage,7,21,51.29,59.02,34.43,6
deratisation,11,55,22.44,17.6,77.06,4
fourmis,6,15,71.38,58.62,28.62,6
frelon-asiatique,3,3,70.71,60.16,29.29,3
frelons,10,45,7.13,0.0,82.81,2
guepes,11,55,9.49,0.0,81.35,1
mouches,6,15,72.33,60.0,27.67,6
punaises-de-lit,13,78,17.39,0.0,82.6,6
rats,8,28,13.18,5.06,61.82,1
souris,8,28,13.1,4.96,61.9,1
xylophages,6,15,71.86,59.32,28.14,6
