nuisible,page_a,page_b,common_pct,localized_pct,shared_units,units_a,units_b
acariens,acariens-antony,acariens-chatenay-malabry,1.03,98.97,1,102,93
acariens,acariens-antony,acariens-choisy-le-roi,1.05,98.95,1,102,89
acariens,acariens-antony,acariens-orly,3.09,96.9,3,102,92
acariens,acariens-antony,acariens-thiais,3.08,96.92,3,102,93
acariens,acariens-antony,acariens-versailles,3.12,96.86,3,102,90
acariens,acariens-chatenay-malabry,acariens-choisy-le-roi,1.1,98.9,1,93,89
acariens,acariens-chatenay-malabry,acariens-orly,1.08,98.92,1,93,92
acariens,acariens-chatenay-malabry,acariens-thiais,1.08,98.92,1,93,93
acariens,acariens-chatenay-malabry,acariens-versailles,1.09,98.91,1,93,90
acariens,acariens-choisy-le-roi,acariens-orly,1.1,98.89,1,89,92
acariens,acariens-choisy-le-roi,acariens-thiais,1.1,98.9,1,89,93
acariens,acariens-choisy-le-roi,acariens-versailles,1.12,98.88,1,89,90
acariens,acariens-orly,acariens-thiais,3.24,96.76,3,92,93
acariens,acariens-orly,acariens-versailles,3.3,96.7,3,92,90
acariens,acariens-thiais,acariens-versailles,3.28,96.72,3,93,90
chenille-processionnaire,chenille-processionnaire-antony,chenille-processionnaire-chatenay-malabry,1.02,98.98,1,103,93
chenille-processionnaire,chenille-processionnaire-antony,chenille-processionnaire-choisy-le-roi,1.04,98.95,1,103,89
chenille-processionnaire,chenille-processionnaire-antony,chenille-processionnaire-orly,4.08,95.91,4,103,93
chenille-processionnaire,chenille-processionnaire-antony,chenille-processionnaire-thiais,4.08,95.91,4,103,93
chenille-processionnaire,chenille-processionnaire-antony,chenille-processionnaire-versailles,4.12,95.86,4,103,91
chenille-processionnaire,chenille-processionnaire-chatenay-malabry,chenille-processionnaire-choisy-le-roi,1.1,98.9,1,93,89
chenille-processionnaire,chenille-processionnaire-chatenay-malabry,chenille-processionnaire-orly,1.08,98.92,1,93,93
chenille-processionnaire,chenille-processionnaire-chatenay-malabry,chenille-processionnaire-thiais,1.08,98.92,1,93,93
chenille-processionnaire,chenille-processionnaire-chatenay-malabry,chenille-processionnaire-versailles,1.09,98.91,1,93,91
chenille-processionnaire,chenille-processionnaire-choisy-le-roi,chenille-processionnaire-orly,1.1,98.9,1,89,93
chenille-processionnaire,chenille-processionnaire-choisy-le-roi,chenille-processionnaire-thiais,1.1,98.9,1,89,93
chenille-processionnaire,chenille-processionnaire-choisy-le-roi,chenille-processionnaire-versailles,1.11,98.89,1,89,91
chenille-processionnaire,chenille-processionnaire-orly,chenille-processionnaire-thiais,4.3,95.7,4,93,93
chenille-processionnaire,chenille-processionnaire-orly,chenille-processionnaire-versailles,4.35,95.65,4,93,91
chenille-processionnaire,chenille-processionnaire-thiais,chenille-processionnaire-versailles,4.35,95.65,4,93,91
fourmis,fourmis-antony,fourmis-chatenay-malabry,1.03,98.97,1,102,93
fourmis,fourmis-antony,fourmis-choisy-le-roi,1.05,98.95,1,102,89
fourmis,fourmis-antony,fourmis-orly,3.09,96.9,3,102,92
fourmis,fourmis-antony,fourmis-thiais,3.08,96.92,3,102,93
fourmis,fourmis-antony,fourmis-versailles,3.12,96.86,3,102,90
fourmis,fourmis-chatenay-malabry,fourmis-choisy-le-roi,1.1,98.9,1,93,89
fourmis,fourmis-chatenay-malabry,fourmis-orly,1.08,98.92,1,93,92
fourmis,fourmis-chatenay-malabry,fourmis-thiais,1.08,98.92,1,93,93
fourmis,fourmis-chatenay-malabry,fourmis-versailles,1.09,98.91,1,93,90
fourmis,fourmis-choisy-le-roi,fourmis-orly,1.1,98.89,1,89,92
fourmis,fourmis-choisy-le-roi,fourmis-thiais,1.1,98.9,1,89,93
fourmis,fourmis-choisy-le-roi,fourmis-versailles,1.12,98.88,1,89,90
fourmis,fourmis-orly,fourmis-thiais,3.24,96.76,3,92,93
fourmis,fourmis-orly,fourmis-versailles,3.3,96.7,3,92,90
fourmis,fourmis-thiais,fourmis-versailles,3.28,96.72,3,93,90
frelon-asiatique,frelon-asiatique-chatenay-malabry,frelon-asiatique-orly,1.08,98.92,1,93,93
frelon-asiatique,frelon-asiatique-chatenay-malabry,frelon-asiatique-thiais,1.08,98.92,1,93,93
frelon-asiatique,frelon-asiatique-orly,frelon-asiatique-thiais,4.3,95.7,4,93,93
mouches,mouches-antony,mouches-chatenay-malabry,1.03,98.97,1,102,93
