slug,nuisible,city,avg_similarity_cluster,unique_words,thin,status
acariens-antony,acariens,antony,0.11,1195,false,OK
acariens-chatenay-malabry,acariens,chatenay-malabry,0.0,1058,false,OK
acariens-choisy-le-roi,acariens,choisy-le-roi,0.0,1001,false,OK
acariens-clamart,acariens,clamart,0.11,1005,false,OK
acariens-orly,acariens,orly,0.0,1066,false,OK
acariens-thiais,acariens,thiais,0.0,1277,false,OK
acariens-versailles,acariens,versailles,0.0,1027,false,OK
cafards-antony,cafards,antony,0.0,936,false,OK
cafards-arcueil,cafards,arcueil,11.94,1176,false,OK
cafards-cachan,cafards,cachan,2.37,1079,false,OK
cafards-chatenay-malabry,cafards,chatenay-malabry,11.59,1229,false,OK
cafards-choisy-le-roi,cafards,choisy-le-roi,9.71,1053,false,OK
cafards-clamart,cafards,clamart,11.78,1180,false,OK
cafards-fresnes,cafards,fresnes,2.42,1078,false,OK
cafards-gentilly,cafards,gentilly,11.94,1179,false,OK
cafards-le-kremlin-bicetre,cafards,le-kremlin-bicetre,9.45,1254,false,OK
cafards-lhay-les-roses,cafards,lhay-les-roses,2.42,1137,false,OK
cafards-orly,cafards,orly,9.85,1027,false,OK
cafards-thiais,cafards,thiais,9.15,1238,false,OK
cafards-versailles,cafards,versailles,9.85,1008,false,OK
chenille-processionnaire-antony,chenille-processionnaire,antony,0.59,1209,false,OK
chenille-processionnaire-chatenay-malabry,chenille-processionnaire,chatenay-malabry,0.48,1072,false,OK
chenille-processionnaire-choisy-le-roi,chenille-processionnaire,choisy-le-roi,0.49,1015,false,OK
chenille-processionnaire-clamart,chenille-processionnaire,clamart,0.11,1018,false,OK
chenille-processionnaire-orly,chenille-processionnaire,orly,0.48,1080,false,OK
chenille-processionnaire-thiais,chenille-processionnaire,thiais,0.48,1268,false,OK
chenille-processionnaire-versailles,chenille-processionnaire,versailles,0.48,1041,false,OK
depigeonnage-antony,depigeonnage,antony,31.21,967,false,OK
depigeonnage-chatenay-malabry,depigeonnage,chatenay-malabry,30.67,1005,false,OK
depigeonnage-choisy-le-roi,depigeonnage,choisy-le-roi,30.38,1013,false,OK
depigeonnage-clamart,depigeonnage,clamart,0.0,1003,false,OK
depigeonnage-orly,depigeonnage,orly,30.96,989,false,OK
depigeonnage-thiais,depigeonnage,thiais,28.45,1197,false,OK
depigeonnage-versailles,depigeonnage,versailles,30.96,970,false,OK
deratisation-antony,deratisation,antony,0.0,977,false,OK
deratisation-chatenay-malabry,deratisation,chatenay-malabry,6.95,1684,false,OK
deratisation-chevilly-larue,deratisation,chevilly-larue,6.13,1184,false,OK
deratisation-choisy-le-roi,deratisation,choisy-le-roi,5.96,1108,false,OK
deratisation-clamart,deratisation,clamart,7.33,1402,false,OK
deratisation-orly,deratisation,orly,7.17,1422,false,OK
deratisation-rungis,deratisation,rungis,5.51,863,true,A_AMELIORER
deratisation-thiais,deratisation,thiais,6.95,1684,false,OK
deratisation-versailles,deratisation,versailles,7.33,1409,false,OK
deratisation-villejuif,deratisation,villejuif,5.52,1390,false,OK
deratisation-vitry-sur-seine,deratisation,vitry-sur-seine,5.3,1434,false,OK
fourmis-antony,fourmis,antony,0.11,1195,false,OK
fourmis-chatenay-malabry,fourmis,chatenay-malabry,0.0,1058,false,OK
fourmis-choisy-le-roi,fourmis,choisy-le-roi,0.0,1001,false,OK
fourmis-clamart,fourmis,clamart,0.11,1000,false,OK
fourmis-orly,fourmis,orly,0.0,1066,false,OK
fourmis-thiais,fourmis,thiais,0.0,1267,false,OK
fourmis-versailles,fourmis,versailles,0.0,1027,false,OK
frelon-asiatique-chatenay-malabry,frelon-asiatique,chatenay-malabry,0.56,1072,false,OK
frelon-asiatique-orly,frelon-asiatique,orly,0.57,1080,false,OK
frelon-asiatique-thiais,frelon-asiatique,thiais,0.56,1270,false,OK
frelons-antony,frelons,antony,0.0,943,false,OK
frelons-arcueil,frelons,arcueil,2.27,4151,false,OK
frelons-choisy-le-roi,frelons,choisy-le-roi,0.0,993,false,OK
frelons-clamart,frelons,clamart,2.27,4146,false,OK
frelons-gentilly,frelons,gentilly,2.27,4135,false,OK
frelons-le-kremlin-bicetre,frelons,le-kremlin-bicetre,2.26,4164,false,OK
frelons-versailles,frelons,versailles,2.71,1049,false,OK
guepes-antony,guepes,antony,0.0,923,false,OK
guepes-arcueil,guepes,arcueil,1.53,4158,false,OK
guepes-chatenay-malabry,guepes,chatenay-malabry,11.77,979,false,OK
guepes-choisy-le-roi,guepes,choisy-le-roi,11.59,1010,false,OK
guepes-clamart,guepes,clamart,1.53,4142,false,OK
guepes-gentilly,guepes,gentilly,1.53,4142,false,OK
guepes-le-kremlin-bicetre,guepes,le-kremlin-bicetre,1.52,4160,false,OK
guepes-orly,guepes,orly,11.86,964,false,OK
guepes-thiais,guepes,thiais,10.95,1167,false,OK
guepes-versailles,guepes,versailles,1.84,969,false,OK
mouches-antony,mouches,antony,0.11,1195,false,OK
mouches-chatenay-malabry,mouches,chatenay-malabry,0.0,1058,false,OK
mouches-choisy-le-roi,mouches,choisy-le-roi,0.0,1001,false,OK
mouches-clamart,mouches,clamart,0.11,1001,false,OK
mouches-orly,mouches,orly,0.0,1066,false,OK
mouches-thiais,mouches,thiais,0.0,1263,false,OK
mouches-versailles,mouches,versailles,0.0,1027,false,OK
punaises-de-lit-antony,punaises-de-lit,antony,0.25,961,false,OK
punaises-de-lit-arcueil,punaises-de-lit,arcueil,11.89,1196,false,OK
punaises-de-lit-cachan,punaises-de-lit,cachan,2.28,1095,false,OK
punaises-de-lit-chatenay-malabry,punaises-de-lit,chatenay-malabry,11.54,1249,false,OK
punaises-de-lit-choisy-le-roi,punaises-de-lit,choisy-le-roi,8.88,1008,false,OK
punaises-de-lit-clamart,punaises-de-lit,clamart,11.73,1200,false,OK
punaises-de-lit-fresnes,punaises-de-lit,fresnes,2.47,1071,false,OK
punaises-de-lit-gentilly,punaises-de-lit,gentilly,11.89,1199,false,OK
punaises-de-lit-le-kremlin-bicetre,punaises-de-lit,le-kremlin-bicetre,9.45,1282,false,OK
punaises-de-lit-lhay-les-roses,punaises-de-lit,lhay-les-roses,2.46,1149,false,OK
punaises-de-lit-orly,punaises-de-lit,orly,9.02,984,false,OK
punaises-de-lit-thiais,punaises-de-lit,thiais,8.33,1198,false,OK
punaises-de-lit-versailles,punaises-de-lit,versailles,9.02,965,false,OK
rats-arcueil,rats,arcueil,14.96,1179,false,OK
rats-cachan,rats,cachan,3.96,1182,false,OK
rats-fresnes,rats,fresnes,4.48,1062,false,OK
rats-gentilly,rats,gentilly,14.96,1182,false,OK
rats-le-kremlin-bicetre,rats,le-kremlin-bicetre,11.96,1265,false,OK
rats-lhay-les-roses,rats,lhay-les-roses,4.41,1129,false,OK
souris-arcueil,souris,arcueil,14.93,1179,false,OK
souris-cachan,souris,cachan,3.95,1138,false,OK
souris-fresnes,souris,fresnes,4.3,1074,false,OK
souris-gentilly,souris,gentilly,14.93,1182,false,OK
souris-le-kremlin-bicetre,souris,le-kremlin-bicetre,11.95,1265,false,OK
souris-lhay-les-roses,souris,lhay-les-roses,4.32,1135,false,OK
xylophages-antony,xylophages,antony,0.11,1195,false,OK
xylophages-chatenay-malabry,xylophages,chatenay-malabry,0.0,1058,false,OK
